Id,HOMO-8,HOMO-7,HOMO-56,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,LUMO+6,LUMO+7,LUMO+8,color
ZINC000003861058,-12.95504074,-12.77487294,-12.67241183,-12.29772925,-12.04313649,-10.83126128,-10.0869308,-9.088308901,-9.014563803,-0.58660189,-0.109888171,0.371566224,0.549473932,1.432327746,2.238239261,2.54403134,2.999070239,3.577660751,0.476713719
ZINC000003876017,-11.91955915,-11.75135697,-10.64010172,-10.4811898,-10.12361041,-9.65496687,-9.480925204,-8.764520622,-8.723004781,-1.089495908,-0.831184104,-0.126800263,0.036506892,0.556566573,0.654011385,1.294050633,1.531143312,2.230694601,0.258311804
ZINC000006920369,-11.97304061,-11.75700536,-10.89553237,-10.88737032,-10.8659307,-10.58615722,-10.20756083,-9.575970277,-8.629852304,-1.505091635,-0.654202482,-0.489954541,-0.190894959,0.093553046,0.707992635,0.887763539,2.048296112,2.541767575,0.850889153
ZINC000008579950,-12.69449089,-12.63697067,-12.49964904,-11.94049531,-11.82564964,-10.33600747,-9.803695524,-9.591316843,-9.277046668,-1.502552249,-0.817902857,0.005082447,0.808803696,0.927493358,1.909530232,2.650902382,2.65370269,2.832881928,0.684649392
ZINC000008585874,-12.12628945,-12.09402344,-11.72871932,-11.65489337,-11.0215462,-10.15761099,-9.42261487,-8.991742401,-8.788999423,-0.987023773,-0.040042188,0.058060438,0.566158177,1.157092825,1.739336232,2.774248198,2.946228221,3.310213036,0.946981585
ZINC000008683005,-12.59670064,-12.33064205,-12.14929459,-11.93928625,-11.39311242,-10.10570976,-10.09573964,-9.333920099,-8.843778136,-1.205377913,-0.454054014,0.214451349,0.989805706,1.163152808,2.161054415,2.890894592,3.057850966,3.497308104,0.751323899
ZINC000059029793,-9.572001338,-9.526115989,-9.523719925,-9.337403946,-9.284007012,-8.902860209,-8.732537585,-8.467599857,-8.280423942,-0.409649668,-0.375127245,0.012854954,0.068030561,0.268561223,0.276940095,0.39410098,0.394222253,0.406658263,0.034522423
ZINC000064622643,-11.24008408,-10.75348477,-10.09574699,-9.838559716,-9.572074837,-9.429814085,-9.123184118,-8.324920162,-7.849680096,-1.636614201,-1.091274581,-0.445116551,-0.225994348,-0.043390062,0.050004961,0.317518825,0.770801101,1.127968895,0.54533962
ZINC000064622647,-11.43092759,-11.21328272,-11.08095534,-10.40009481,-10.09769471,-9.547754058,-8.818836292,-8.585047388,-7.656400098,-1.757931448,-0.868367186,-0.355793365,-0.004975874,0.516123816,0.682650223,1.17610331,1.245078331,1.431725055,0.889564262
ZINC000064624955,-10.07916197,-9.631370056,-9.601378839,-9.47430663,-9.47296895,-9.424650788,-9.36630003,-8.482799425,-7.620756818,-1.818803218,-1.009363757,-0.240131857,-0.203540441,-0.190413541,-0.156361512,-0.088882192,-0.085762165,0.343541102,0.809439461
ZINC000064858311,-10.35094244,-10.04043908,-9.93324097,-9.790895694,-9.717988483,-9.660688758,-8.955577279,-8.694968634,-8.211371746,-1.045749376,-0.371573574,0.146564111,0.241061618,0.289938371,0.34467666,0.379720925,0.498237864,1.064440141,0.674175802
ZINC000085548520,-10.46526259,-10.46520747,-10.46517072,-10.46499432,-9.66743228,-9.667208108,-9.667116235,-9.667061111,-9.666994962,-2.872413299,-2.872306726,-2.872152378,-2.221330844,-2.221106673,-2.220956,-1.367461312,-1.367413538,-1.367284915,0.000106573
ZINC000100074226,-10.23764025,-9.72179205,-9.567503206,-9.122923197,-9.063980773,-8.556099856,-8.556037382,-8.301051401,-8.300757406,-1.209787845,-1.209571024,-1.010028922,-1.009933373,-0.61015828,-0.438758898,-0.234549617,0.000301345,0.379177033,0.000216821
ZINC000100074278,-10.73879601,-10.54785696,-10.47239198,-9.546739774,-9.546673625,-8.919981772,-8.672378754,-8.415720675,-8.352026548,-0.828670442,-0.773417661,-0.400929026,-0.181582651,0.322612297,0.367027669,0.916361953,0.930154017,1.14465314,0.055252781
ZINC000100074301,-10.446502,-9.938088221,-9.516653008,-9.104805724,-9.035327235,-8.617581666,-8.413809704,-8.254622161,-8.237879116,-0.808803696,-0.771234744,-0.495562505,-0.36724449,0.028576363,0.076030914,0.517597469,0.642931429,0.977898888,0.037568952
ZINC000169747359,-10.47907671,-9.62588704,-9.622539166,-9.617166398,-9.60852293,-9.580402259,-9.573930683,-9.528427528,-9.452481138,-0.273290875,-0.112089463,0.383039399,0.393391716,0.396927012,0.413967727,0.419039149,0.464336507,1.357483839,0.161201412
ZINC000079045456,-11.77916895,-11.77889333,-11.02594143,-11.02568418,-11.00875004,-9.117723152,-9.117524705,-8.963820178,-8.963371834,-0.947025684,-0.946404619,0.077015799,0.388092447,0.562957301,0.563045499,1.647631682,1.648385046,2.662566654,0.000621065
rubrene_cmca,-9.703652527,-9.666410646,-9.441437932,-9.44124316,-9.167775887,-9.140162359,-9.039472572,-8.998901192,-7.804632634,-1.333185111,-0.293249496,-0.108058049,0.291904466,0.31193291,0.392693477,0.394207553,0.480300463,0.494030054,1.039935615
